transaction_id,user_id,timestamp,amount,merchant,merchant_category,location,latitude,longitude,device_type
TXN000285,U00014,2024-01-01T07:24:00,89.89,Grubhub,Food Delivery,Austin,30.337,-97.6024,mobile_ios
TXN001443,U00039,2024-01-01T08:16:00,177.61,Starbucks,Food & Beverage,New York,40.7295,-74.0625,tablet_ios
TXN001999,U00053,2024-01-01T16:11:00,141.83,Marriott Hotels,Travel,Houston,29.6235,-95.4434,desktop_chrome
TXN001777,U00036,2024-01-01T19:44:00,630.1,Planet Fitness,Health & Fitness,Philadelphia,40.083,-75.0892,mobile_android
TXN000481,U00059,2024-01-01T22:24:00,221.0,Netflix,Entertainment,Denver,39.8541,-104.9544,mobile_ios
TXN001140,U00037,2024-01-02T09:11:00,316.49,McDonald's,Food & Beverage,Phoenix,33.5201,-111.9682,desktop_chrome
TXN000810,U00063,2024-01-02T09:35:00,30.44,Spotify,Entertainment,Phoenix,33.3187,-112.2106,mobile_android
TXN001766,U00068,2024-01-02T10:01:00,131.3,Starbucks,Food & Beverage,Boston,42.4406,-70.978,desktop_safari
TXN001822,U00054,2024-01-02T12:25:00,207.01,Netflix,Entertainment,Houston,29.7933,-95.4161,mobile_ios
TXN001250,U00028,2024-01-02T19:04:00,3.52,Venmo,Transfer,Tokyo,35.6875,139.6634,mobile_android
TXN000840,U00059,2024-01-02T19:41:00,218.53,Airbnb,Travel,Denver,39.8454,-105.0434,mobile_ios
TXN001184,U00018,2024-01-03T17:49:00,1.0,Marriott Hotels,Travel,Austin,30.2877,-97.6338,desktop_chrome
TXN000998,U00056,2024-01-03T17:56:00,312.33,Starbucks,Food & Beverage,New York,40.6223,-74.0991,desktop_safari
TXN000969,U00024,2024-01-03T23:28:00,169.31,Venmo,Transfer,Miami,25.706,-80.3301,mobile_ios
TXN000131,U00018,2024-01-03T23:59:00,1.0,DoorDash,Food Delivery,Austin,30.2393,-97.6126,desktop_chrome
TXN001550,U00065,2024-01-04T08:11:00,205.39,Marriott Hotels,Travel,Miami,25.6907,-80.0783,tablet_ios
TXN000547,U00042,2024-01-04T09:43:00,158.21,Target,Retail,San Diego,32.6681,-117.0938,mobile_android
TXN000996,U00063,2024-01-04T10:49:00,67.55,Spotify,Entertainment,Phoenix,33.3662,-112.1054,mobile_android
TXN001897,U00029,2024-01-04T12:19:00,240.78,McDonald's,Food & Beverage,Seattle,47.6432,-122.2188,desktop_safari
TXN000837,U00027,2024-01-04T12:52:00,205.64,Spotify,Entertainment,San Diego,32.6845,-117.0501,mobile_ios
TXN001553,U00068,2024-01-04T14:18:00,129.85,Walmart,Retail,Boston,42.2295,-71.1901,desktop_safari
TXN000494,U00039,2024-01-04T15:14:00,108.34,Best Buy,Electronics,New York,40.8195,-74.1495,tablet_ios
TXN001092,U00051,2024-01-04T17:50:00,111.97,DoorDash,Food Delivery,San Antonio,29.4264,-98.5633,desktop_safari
TXN000190,U00039,2024-01-04T18:21:00,64.91,Starbucks,Food & Beverage,New York,40.6768,-73.8973,desktop_chrome
TXN001545,U00010,2024-01-05T06:47:00,139.81,Target,Retail,Miami,25.8727,-80.1566,desktop_chrome
TXN000212,U00046,2024-01-05T21:08:00,224.5,Shell,Gas Station,Seattle,47.7008,-122.193,tablet_ios
TXN000426,U00057,2024-01-06T12:54:00,331.44,Amazon,E-commerce,Moscow,55.7569,37.6371,mobile_ios
TXN001281,U00061,2024-01-06T16:26:00,92.71,Amazon,E-commerce,Los Angeles,33.9473,-118.3736,mobile_android
